ImmPort Study ID	PubMed	Study Title	PI	Biosample ID	Experiment ID	Cohort	Repository Accession	Type	Subtype	Biosample Name	Biosample Description	Species	Strain
SDY1148	28398584	Genomic profiles of low-grade murine gliomas evolve during progression to glioblastoma	Ryan Miller	GSM1196145	GSE49265	GEMM_TRPnull	GSM1196145	Brain	LGA tumor A2 at Forebrain	RNA of 215534_Forebrain_TRPnull	Genotype:TgGZT 121 ; Kras G12D+/- ; Pten -/- ; GFAP-CreER	Mus musculus	C57/Bl6:TRPnull
SDY1148	28398584	Genomic profiles of low-grade murine gliomas evolve during progression to glioblastoma	Ryan Miller	GSM1196146	GSE49265	GEMM_TRPhet	GSM1196146	Brain	LGA tumor A2 at Forebrain	RNA of 219596_Forebrain_TRPhet	Genotype:TgGZT 121 ; Kras G12D+/- ; Pten +/- ; GFAP-CreER	Mus musculus	C57/Bl6:TRPhet
SDY1148	28398584	Genomic profiles of low-grade murine gliomas evolve during progression to glioblastoma	Ryan Miller	GSM1196147	GSE49265	GEMM_TRPnull	GSM1196147	Brain	LGA tumor A2 at Forebrain	RNA of 215697_Forebrain_TRPnull	Genotype:TgGZT 121 ; Kras G12D+/- ; Pten -/- ; GFAP-CreER	Mus musculus	C57/Bl6:TRPnull
SDY1148	28398584	Genomic profiles of low-grade murine gliomas evolve during progression to glioblastoma	Ryan Miller	GSM1196148	GSE49265	GEMM_TRPhet	GSM1196148	Brain	LGA tumor A2 at Forebrain	RNA of 219695_Forebrain_TRPhet	Genotype:TgGZT 121 ; Kras G12D+/- ; Pten +/- ; GFAP-CreER	Mus musculus	C57/Bl6:TRPhet
SDY1148	28398584	Genomic profiles of low-grade murine gliomas evolve during progression to glioblastoma	Ryan Miller	GSM1196149	GSE49265	GEMM_TRPnull	GSM1196149	Brain	LGA tumor A2 at Forebrain	RNA of 216103_Forebrain_TRPnull	Genotype:TgGZT 121 ; Kras G12D+/- ; Pten -/- ; GFAP-CreER	Mus musculus	C57/Bl6:TRPnull
SDY1148	28398584	Genomic profiles of low-grade murine gliomas evolve during progression to glioblastoma	Ryan Miller	GSM1196150	GSE49265	GEMM_TRPhet	GSM1196150	Brain	LGA tumor A2 at Forebrain	RNA of 219439_Forebrain_TRPhet	Genotype:TgGZT 121 ; Kras G12D+/- ; Pten +/- ; GFAP-CreER	Mus musculus	C57/Bl6:TRPhet
SDY1148	28398584	Genomic profiles of low-grade murine gliomas evolve during progression to glioblastoma	Ryan Miller	GSM1196151	GSE49265	GEMM_TRPnull	GSM1196151	Brain	LGA tumor A3 at Forebrain	RNA of 214253_Forebrain_TRPnull	Genotype:TgGZT 121 ; Kras G12D+/- ; Pten -/- ; GFAP-CreER	Mus musculus	C57/Bl6:TRPnull
SDY1148	28398584	Genomic profiles of low-grade murine gliomas evolve during progression to glioblastoma	Ryan Miller	GSM1196152	GSE49265	GEMM_TRPhet	GSM1196152	Brain	LGA tumor A2 at Forebrain	RNA of 217494_Forebrain_TRPhet	Genotype:TgGZT 121 ; Kras G12D+/- ; Pten +/- ; GFAP-CreER	Mus musculus	C57/Bl6:TRPhet
SDY1148	28398584	Genomic profiles of low-grade murine gliomas evolve during progression to glioblastoma	Ryan Miller	GSM1196153	GSE49265	GEMM_T	GSM1196153	Brain	LGA tumor A2 at Forebrain	RNA of 221940_Forebrain_T	Genotype:TgGZT 121 ; GFAP-CreER	Mus musculus	C57/Bl6:T
SDY1148	28398584	Genomic profiles of low-grade murine gliomas evolve during progression to glioblastoma	Ryan Miller	GSM1196154	GSE49265	GEMM_TPhet	GSM1196154	Brain	LGA tumor A2 at Forebrain	RNA of 215217_Forebrain_TPhet	Genotype:TgGZT 121 ; Pten +/- ; GFAP-CreER	Mus musculus	C57/Bl6:TPhet
