Sample_title	482N1 shLuciferase rep1	482N1 shLuciferase rep2	482N1 shArntl2 #1 rep1	482N1 shArntl2 #1 rep2	482N1 shArntl2 #2 rep1	482N1 shArntl2 #2 rep2	end
Sample_description	482N1 with shLuciferase	482N1 with shLuciferase	482N1 with shArntl2 #1	482N1 with shArntl2 #1	482N1 with shArntl2 #2	482N1 with shArntl2 #2	end
Sample_source_name	482N1 lymph node metastasis-derived cell line	482N1 lymph node metastasis-derived cell line	482N1 lymph node metastasis-derived cell line	482N1 lymph node metastasis-derived cell line	482N1 lymph node metastasis-derived cell line	482N1 lymph node metastasis-derived cell line	end
sample type	Lymph Node metastasis	Pleural metastasis	Non-metastatic primary tumor	Metastatic primary tumor	Lymph Node metastasis	Pleural metastasis
genotype	tumor genotype: Kras G12D, p53 null	tumor genotype: Kras G12D, p53 null	tumor genotype: Kras G12D, p53 null	tumor genotype: Kras G12D, p53 null	tumor genotype: Kras G12D, p53 null	tumor genotype: Kras G12D, p53 null	end
gene	SRR2352576	SRR2352577	SRR2352578	SRR2352579	SRR2352580	SRR2352581	end
0610007P14Rik	54.1571	52.9927	62.6822	53.8965	57.9625	62.3574	C14orf1
0610009O20Rik	18.2462	25.3115	25.214	22.988	11.2137	15.1967	KIAA0141
0610010F05Rik	12.00061	14.485843	19.493134	21.52893	11.253964	14.88139	KIAA1841
0610010K14Rik	53.57424	64.42056	45.7928900665963	38.946370608981	70.83549	70.4255600066939	C17orf49
0610030E20Rik	6.27161	6.18767	8.4313	8.12539	3.8928	5.11635	C2orf68
0610037L13Rik	11.35428	12.525873	23.11903	20.82217	12.464925	10.67011	C1orf123
0610040J01Rik	1.86684	2.15559	10.0281	11.4464	2.48668	2.47527	C4orf19
1110004E09Rik	27.3108	31.2878	29.1332	25.8235	28.6645	26.2804	C21orf59
1110004F10Rik	163.09852	156.57217	177.56305	180.77485	156.843	148.46472	C11orf58
1110008F13Rik	177.563	168.727	266.259	242.103	175.525	178.148	C20orf24
1110008L16Rik	8.25119	11.0598	11.2262	9.92556	7.64292	9.20055	KIAA0391
1110008P14Rik	41.9603	51.3404	37.3208	31.9395	62.0712	60.6116	C9orf16
1110012L19Rik	52.16	42.4997	51.5002	51.0414	50.2403	38.5472	CXorf40A
1110017D15Rik	0.163398	0.873277	0.10757601	0.453829	0.0575321	0.0923054	C9orf24
1110032A03Rik	8.149612	8.22032	10.48232	10.30643	6.254354	8.284945	C11orf1
1110032F04Rik	0	0	0	0	0	0	C3orf80
1110034G24Rik	7.517281	5.814891	5.827136	5.559522	6.07886	6.196866	C20orf196
1110037F02Rik	14.6157	18.3007	22.9609	25.3639	15.5921	22.4682	KIAA1429
