Sample	Evading_growth_suppressors	Evading_immune_destruction	Genome_instability	Replicative_immortality	Reprogramming_energy_metabolism	Resisting_cell_death	Sustained_angiogenesis	Sustaining_proliferative_signaling	Tissue_invasion_and_metastasis	Tumor-promoting_inflammation
SRR2079134	628	534	589	651	792	641	619	691	707	664
SRR2079135	637	534	584	624	806	636	618	691	700	712
SRR2079136	661	536	591	666	804	655	616	708	716	723
SRR2079137	667	546	583	628	807	645	589	707	716	703
SRR2079138	648	544	577	616	812	636	591	688	707	700
SRR2079139	626	564	550	541	741	618	611	648	707	699
SRR2079140	594	538	552	581	763	604	593	633	694	676
SRR2079141	639	539	571	643	795	624	609	673	712	717
SRR2079142	647	543	576	650	814	642	585	686	734	705
SRR2079143	635	520	558	603	823	622	571	668	708	677
SRR2079144	745	582	629	647	816	710	795	733	721	781
SRR2079145	707	580	594	617	828	657	680	686	732	733
SRR2079146	689	563	595	618	815	610	641	658	703	709
SRR2079147	648	527	563	582	821	600	590	638	689	695
SRR2079148	722	569	567	620	806	668	663	681	736	739
SRR3162396	633	548	654	625	701	566	645	660	620	616
SRR3162397	604	515	625	596	617	548	655	632	631	610
SRR3162398	587	559	615	576	546	562	671	623	649	615
SRR3162399	537	518	630	581	631	509	557	588	606	586
SRR3162400	549	522	631	579	635	500	575	592	612	596
SRR3162401	500	458	628	567	671	475	516	586	569	572
SRR3162402	711	540	260	393	768	687	701	617	731	790
SRR3162403	769	521	66	392	772	713	669	605	734	789
SRR3162404	666	827	57	440	515	715	669	550	761	785
SRR3162405	746	531	62	445	960	730	704	624	744	811
SRR3162406	674	583	224	483	751	753	679	582	758	777
SRR3162407	700	584	187	445	771	718	745	638	742	770
SRR3162408	801	577	141	461	956	706	678	635	773	793
SRR3162409	734	624	128	402	955	673	602	581	731	825
SRR3162410	587	815	59	339	650	668	663	529	746	822
SRR3162411	683	582	189	451	746	710	829	613	786	832
SRR3162412	742	723	339	544	782	760	843	718	795	915
SRR3162413	756	560	104	464	956	727	665	611	778	828
SRR3162414	774	523	479	582	970	721	668	697	749	817
SRR3162415	717	709	306	298	592	700	690	542	743	800
SRR3162416	705	556	510	575	811	740	711	692	773	745
SRR3162417	653	639	61	400	963	746	825	611	802	906
SRR3162418	724	553	299	428	748	715	688	562	744	761
SRR3162419	588	660	56	368	673	638	613	502	710	803
SRR3162420	716	702	73	441	819	707	680	614	764	845
SRR3162421	712	549	68	423	764	744	667	615	766	783
SRR3162422	672	699	64	392	479	637	576	527	699	793
SRR3162423	749	804	273	326	962	634	638	537	746	823
SRR3162424	780	598	254	467	818	727	666	605	753	871
SRR3162425	705	570	90	478	824	766	726	631	774	765
SRR3162426	708	558	374	553	961	723	715	695	755	828
SRR3162427	782	558	94	439	782	721	733	608	765	812
SRR3162428	733	525	219	386	959	748	728	604	761	811
SRR3162429	747	546	358	561	956	719	708	691	766	874
SRR3162430	748	691	244	436	770	717	715	589	786	794
SRR3162431	627	522	103	473	962	732	707	603	729	800
SRR3162432	684	566	273	439	787	769	713	607	785	881
SRR3162433	638	732	204	301	651	691	623	528	748	788
SRR3162434	766	545	244	463	962	705	781	622	793	907
SRR3162435	744	573	98	456	786	698	660	614	730	844
SRR3162436	766	565	609	685	963	744	871	796	773	896
SRR3162437	661	756	41	395	766	664	584	566	774	821
SRR3162438	619	701	228	332	962	683	660	566	748	758
SRR3162439	610	812	284	361	650	685	643	553	735	749
SRR3162440	727	572	100	450	956	713	699	615	768	875
SRR3162441	672	513	86	456	959	706	792	624	791	879
SRR3162442	734	648	289	462	968	734	650	634	761	843
SRR3162443	712	824	209	301	957	651	680	556	753	787
SRR3162444	581	702	83	369	772	645	644	550	740	802
SRR3162445	618	717	23	293	965	695	710	545	751	838
SRR3162446	758	572	105	418	967	684	695	593	786	717
SRR3162447	771	602	129	411	977	740	737	634	797	915
SRR3162448	636	645	577	632	748	635	632	711	741	796
SRR3162449	695	735	160	314	970	671	628	560	712	779
SRR3162450	716	607	107	378	761	510	561	508	670	716
SRR3162451	662	501	24	411	784	533	509	539	679	639
SRR3162452	732	829	87	386	691	708	647	548	788	801
SRR3162453	637	574	287	426	960	691	737	592	734	829
SRR3162454	724	617	55	422	812	767	746	612	789	781
SRR3162455	754	589	310	461	959	726	670	598	758	827
SRR3162456	793	611	484	567	784	727	694	681	780	792
SRR3162457	636	920	65	332	954	632	725	525	743	809
SRR3162458	684	660	123	408	535	662	573	524	739	812
SRR3162459	709	607	469	594	961	688	611	711	737	757
SRR3162460	713	692	76	336	699	697	605	553	755	813
SRR3162461	640	809	177	340	956	644	648	544	751	840
SRR3162462	704	836	17	334	756	721	604	568	769	829
SRR3162463	611	823	173	359	576	672	657	535	750	705
SRR3162464	752	638	152	421	802	710	678	604	759	819
SRR3162465	733	590	102	404	709	710	760	597	759	778
SRR3162466	683	816	205	381	536	662	577	542	744	727
SRR3162467	602	687	246	365	668	705	651	576	752	785
SRR3162468	685	706	568	623	799	738	711	701	789	885
SRR3162469	675	641	266	338	663	655	620	466	736	789
SRR3162470	743	591	115	408	971	713	866	642	780	888
SRR3162471	654	706	47	276	549	663	521	488	744	792
SRR3162472	666	801	44	321	707	689	689	537	751	796
SRR3162473	630	465	277	484	944	513	462	592	651	542
SRR3162474	684	667	121	393	455	536	590	411	652	722
SRR3162475	663	797	63	378	564	627	560	552	748	771
SRR3162476	692	720	108	441	750	754	722	633	781	850
SRR3162477	632	640	173	418	582	655	602	549	746	810
SRR3162478	679	690	170	321	535	688	680	536	758	840
SRR3162479	773	714	110	440	775	728	692	592	783	780
SRR3162480	681	558	224	395	966	604	501	560	719	711
SRR3162481	693	730	129	325	713	635	632	517	743	769
SRR3162482	593	712	60	334	473	641	650	510	740	725
SRR3162483	769	556	119	457	797	702	682	599	764	869
SRR3162484	768	589	236	492	793	722	687	596	785	829
SRR3162485	555	761	-58	283	740	411	428	329	548	517
SRR3162486	682	702	240	401	967	722	732	600	784	917
SRR3162487	657	649	77	480	795	662	576	577	750	810
SRR3162488	738	718	141	424	958	707	725	630	808	895
SRR3162489	739	567	116	472	955	670	634	603	748	872
SRR3162490	731	584	325	454	957	711	641	576	746	843
SRR3162491	682	650	42	389	777	525	521	481	656	648
SRR3162492	697	690	203	385	621	681	667	521	784	847
SRR3162493	734	577	160	405	711	566	517	532	698	712
SRR3162494	672	742	605	548	605	635	634	641	728	757
SRR3162495	760	580	281	458	805	726	725	617	770	852
SRR3162496	640	540	-15	410	954	496	521	501	716	633
SRR3162497	767	589	482	606	747	702	717	706	772	827
