Sample	Evading_growth_suppressors	Evading_immune_destruction	Genome_instability	Replicative_immortality	Reprogramming_energy_metabolism	Resisting_cell_death	Sustained_angiogenesis	Sustaining_proliferative_signaling	Tissue_invasion_and_metastasis	Tumor-promoting_inflammation
SRR1925826	669	431	745	324	508	587	795	760	696	653
SRR1925827	654	420	722	304	502	546	786	763	704	589
SRR1925828	671	415	772	331	495	542	793	792	695	629
SRR1925829	662	412	765	330	484	544	787	790	702	619
SRR1925830	668	424	717	297	504	555	793	765	711	605
SRR1925831	708	398	774	344	492	563	827	790	691	614
SRR1925832	703	406	754	330	499	545	824	792	685	616
SRR1925833	668	405	687	291	509	536	848	762	714	607
SRR1925834	609	403	658	264	466	544	838	730	686	613
SRR1925835	630	392	669	266	502	553	817	749	668	614
SRR1925836	635	476	644	259	513	559	809	725	703	637
SRR1925837	634	492	647	258	471	573	804	721	689	620
SRR1925838	623	419	660	268	502	553	779	727	669	625
SRR1925839	615	419	661	266	496	530	775	737	676	612
SRR1925840	615	411	676	280	486	540	782	743	639	580
SRR1925841	598	408	649	264	494	535	806	733	656	606
SRR1925842	491	410	655	279	455	476	760	697	603	521
SRR1925843	500	438	601	253	430	475	790	690	603	537
SRR1925844	497	407	668	280	398	486	781	692	590	517
SRR1925845	491	420	686	290	426	462	770	710	582	516
