Sample	Evading_growth_suppressors	Evading_immune_destruction	Genome_instability	Replicative_immortality	Reprogramming_energy_metabolism	Resisting_cell_death	Sustained_angiogenesis	Sustaining_proliferative_signaling	Tissue_invasion_and_metastasis	Tumor-promoting_inflammation
SRR2352576	756	694	760	428	719	609	961	715	679	709
SRR2352577	758	694	771	423	710	617	956	714	693	702
SRR2352578	765	717	757	392	741	613	975	730	682	708
SRR2352579	769	780	778	387	729	623	982	731	690	719
SRR2352580	749	690	757	431	716	611	948	711	683	706
SRR2352581	747	690	778	441	719	607	940	712	674	714
SRR3924371	769	682	817	435	709	601	979	710	666	681
SRR3924372	736	661	805	404	704	575	962	682	657	678
SRR3924373	758	681	820	434	700	597	976	704	649	666
SRR3924374	755	671	817	421	698	574	965	689	650	675
SRR3924375	744	681	826	434	710	562	968	702	645	655
SRR3924376	751	687	818	415	703	574	976	710	664	665
SRR3924317	714	655	788	419	671	604	905	692	652	680
SRR3924318	701	654	790	426	687	576	892	684	635	686
SRR3924319	665	420	606	374	624	549	872	628	645	644
SRR3924320	633	385	618	379	648	538	856	617	633	641
SRR3924321	723	668	804	444	695	619	899	715	664	682
SRR3924322	704	671	773	422	703	583	886	696	650	679
SRR3924323	714	678	775	413	703	623	886	699	670	694
SRR3924324	660	380	615	347	608	566	885	620	640	647
SRR3924325	658	399	652	359	657	570	872	629	644	656
SRR3924326	729	669	772	408	691	598	928	700	671	688
SRR3924327	665	374	603	343	610	560	874	627	637	650
SRR3924328	648	415	613	363	598	567	861	613	627	639
SRR3924329	682	548	691	412	672	613	913	666	631	670
SRR3924330	673	549	684	407	667	604	890	652	623	671
SRR3924331	689	596	746	430	664	609	893	679	663	667
SRR3924332	699	564	734	425	669	612	906	682	669	664
SRR3924333	713	592	734	433	698	640	939	717	684	677
SRR3924334	651	445	623	389	649	573	873	624	641	656
SRR3924335	684	494	639	391	635	587	891	633	643	656
SRR3924336	702	679	753	397	675	608	913	691	672	688
SRR3924337	731	700	754	411	689	653	966	733	717	699
SRR3924338	675	433	661	361	635	577	883	635	627	661
SRR3924339	667	449	695	384	660	576	877	639	633	658
SRR3924340	712	660	844	431	686	571	899	684	626	691
SRR3924341	704	651	836	426	684	554	897	671	629	687
SRR3924342	643	422	654	363	678	572	900	633	648	653
SRR3924343	654	404	687	368	655	569	877	633	637	660
SRR3924344	708	639	776	393	698	609	915	693	649	701
SRR3924345	701	652	783	401	705	612	911	685	648	684
SRR3924346	720	647	772	384	690	619	921	696	635	693
SRR3924347	647	374	621	354	633	573	850	610	625	627
SRR3924348	724	653	789	428	681	564	932	701	662	701
SRR3924349	632	367	647	358	620	565	834	601	618	629
SRR3924350	713	655	833	454	677	581	899	663	627	692
SRR3924351	708	660	835	441	674	573	914	675	634	678
SRR3924352	710	667	833	444	680	588	898	675	637	703
SRR3924353	649	424	610	383	687	560	867	636	634	662
SRR3924354	657	486	688	404	664	568	874	632	646	661
SRR3924355	700	642	797	442	678	551	907	671	636	652
SRR3924356	704	638	795	451	690	618	909	690	665	686
SRR3924357	705	648	772	446	680	518	910	671	621	687
SRR3924358	668	392	630	341	651	559	884	631	645	651
SRR3924359	677	510	723	379	687	571	879	645	642	665
SRR3924360	695	596	757	382	670	541	885	666	643	670
SRR3924361	666	592	734	366	688	489	860	635	628	657
SRR3924362	700	558	712	355	673	501	884	649	633	670
SRR3924363	629	427	642	393	655	531	829	604	609	621
SRR3924364	639	412	620	363	666	570	879	619	643	650
SRR3924365	651	421	602	374	684	568	880	630	658	664
SRR3924366	630	382	591	341	674	553	868	621	628	655
SRR3924367	646	404	624	375	677	557	872	625	642	652
SRR3924368	618	369	612	345	655	520	831	601	613	621
SRR3924369	493	519	636	343	659	352	609	457	416	336
SRR3924370	474	514	602	299	658	356	605	460	431	330
