gene	TESTSRR1925826	TESTSRR1925827	TESTSRR1925828	TESTSRR1925829	TESTSRR1925830	TESTSRR1925831	TESTSRR1925832	TESTSRR1925833	TESTSRR1925834	TESTSRR1925835	TESTSRR1925836	TESTSRR1925837	TESTSRR1925838	TESTSRR1925839	TESTSRR1925840	TESTSRR1925841	TESTSRR1925842	TESTSRR1925843	TESTSRR1925844	TESTSRR1925845
C14orf1	90.6945	98.2802	102.297	110.277	100.603	108.172	99.6614	102.202	83.4998	85.0441	77.3672	67.356	102.789	91.7102	101.544	83.9415	97.0914	77.642	99.355	87.348
KIAA0141	21.7239	29.1809	32.3692	29.4385	22.8982	27.5175	29.2814	26.7961	14.2209	16.2252	12.2838	9.69544	20.0024	18.8975	21.4155	17.5913	22.302	21.3872	25.7682	26.2512
KIAA1841	11.343865	16.671364	19.285512	17.684746	18.8155600093357	15.501223	15.446865	16.2366700100227	10.692512	13.012173041	13.499631	10.613711240853	12.997473	14.807539	13.020207	10.522479000526	8.187888	7.0839970333179	10.2529200086765	11.23754
C17orf49	62.057817	62.894650606328	69.17634	61.0259478	60.13489	61.63601	58.18804	61.0818	39.13242	47.65872	30.2997500018783	32.77742	45.28099	40.435856022	40.15855	37.21121	37.43499908	33.76446	39.04475	41.13843
C2orf68	14.5365	19.9861	20.4204	18.4882	18.1165	21.0863	24.1091	22.9966	18.0858	23.4404	14.3617	12.6107	20.7192	21.1503	21.7217	21.1023	16.1343	16.8868	23.0947	25.1032
C1orf123	31.884342	41.365933	38.228898	34.72478	29.621148	35.727449	35.18178	33.948774	19.627297	24.283157	18.626259	16.246658	29.731462	29.597477	26.550076	25.231525	31.24827	26.5371	28.575877	31.734043
C4orf19	93.5171	108.887	97.4702	89.9992	109.867	104.654	93.7002	125.417	118.527	116.221	102.475	96.9506	111.462	113.249	84.2276	100.55	68.1726	57.4922	69.4975	64.5765
C21orf59	34.9098	31.6803	39.5358	34.3937	32.7282	36.8556	30.3827	36.0195	17.868	19.2382	19.4017	18.8357	22.5028	21.0379	20.6004	22.4698	22.7141	25.3517	20.7069	23.3349
C11orf58	164.23697	228.37447	194.35806	170.14534	198.16355	183.04273	179.57209	179.96681	114.75743	120.5211	114.7449	95.2319	124.10572	143.94321	104.41219	93.6542	72.59778	65.4104	83.012661	87.33796
C20orf24	166.362	154.063	152.882	145.331	149.834	166.504	162.642	137.671	88.6533	90.0587	97.027	91.8702	114.617	105.294	125.75	120.142	136.624	153.047	126.113	137.673
KIAA0391	14.7274	13.7421	14.242	11.1168	11.7498	12.4113	12.3172	10.5586	5.49745	6.39662	5.83139	3.49729	7.52344	9.22307	8.06684	7.14732	8.63441	6.23519	8.92039	9.42661
C9orf16	59.611	54.9088	55.6447	50.4343	59.3527	45.8932	41.9514	51.0746	35.6189	47.5201	84.9719	80.9842	47.9127	43.1581	60.6583	50.2709	30.1291	34.1619	31.408	28.4089
CXorf40A	27.2812	35.3601	38.1391	32.8903	33.463	31.5574	35.9843	31.7743	23.8487	24.4098	18.831	18.6916	26.927	27.6955	25.1781	24.6787	24.0316	22.7814	30.1026	24.6529
