Mus_GeneID	Mus_Gene	Homo_GeneID	Homo_Gene
72194	Fbxl20	84961	FBXL20
50762	Fbxo6	26270	FBXO6
11855	Arhgap5	394	ARHGAP5
218850	Fam208a	23272	FAM208A
219181	Akap11	11215	AKAP11
628813	Gm11437	284099	C17orf78
218035	Vps41	27072	VPS41
233060	Zfp382	84911	ZNF382
93840	Vangl2	57216	VANGL2
22249	Unc13b	10497	UNC13B
215814	Ccdc28a	25901	CCDC28A
93707	Pcdhgc4	56098	PCDHGC4
14056	Ezh2	2146	EZH2
665563	Mthfd2l	441024	MTHFD2L
109254	Adtrp	84830	ADTRP
16516	Kcnj15	3772	KCNJ15
52397	Zfp644	84146	ZNF644
13194	Ddb1	1642	DDB1
52440	Tax1bp1	8887	TAX1BP1
69740	Dph5	51611	DPH5
66270	Retreg1	54463	RETREG1
16871	Lhx3	8022	LHX3
13595	Ebp	10682	EBP
23857	Dmtf1	9988	DMTF1
217302	Gpr142	350383	GPR142
329972	Spata21	374955	SPATA21
233824	Cog7	91949	COG7
230657	Tmem69	51249	TMEM69
15512	Hspa2	3306	HSPA2
384244	Gm5294	100288524	WI2-2373I1.2
14791	Emg1	10436	EMG1
21855	Timm17b	10245	TIMM17B
433813	Pusl1	126789	PUSL1
259277	Klk8	11202	KLK8
27060	Tcirg1	10312	TCIRG1
72193	Scaf11	9169	SCAF11
192156	Mvd	4597	MVD
75581	Yipf7	285525	YIPF7
71240	Osbpl7	114881	OSBPL7
68159	Stx19	415117	STX19
12010	B2m	567	B2M
19921	Rpl19	6143	RPL19
269397	Ss18l1	26039	SS18L1
56442	Serinc1	57515	SERINC1
68236	Gtsf1l	149699	GTSF1L
239283	Oxgr1	27199	OXGR1
21888	Tle4	7091	TLE4
16147	Ihh	3549	IHH
105243	Slc9a3	6550	SLC9A3
244209	Cyp2r1	120227	CYP2R1
75437	Cfap97d1	284067	CFAP97D1
383348	Kctd16	57528	KCTD16
19143	St14	6768	ST14
214425	Cilp	8483	CILP
20231	Nkx1-2	390010	NKX1-2
329628	Fat4	79633	FAT4
57260	Ltb4r2	56413	LTB4R2
26565	Pla2g10	8399	PLA2G10
258347	Olfr1123	282770	OR10AG1
