Mus	Homo
0610009O20Rik	KIAA0141
0610010F05Rik	KIAA1841
0610010K14Rik	C17orf49
0610030E20Rik	C2orf68
0610037L13Rik	C1orf123
0610040J01Rik	C4orf19
1110002E22Rik	LOC285556
1110004E09Rik	C21orf59
1110004F10Rik	C11orf58
1110008F13Rik	C20orf24
1110008L16Rik	KIAA0391
1110008P14Rik	C9orf16
1110012L19Rik	CXorf40A
1110017D15Rik	C9orf24
1110032A03Rik	C11orf1
1110032F04Rik	C3orf80
1110034G24Rik	C20orf196
1110038F14Rik	C8orf33
1110051M20Rik	C11orf49
1110059E24Rik	C9orf85
1110059G10Rik	KIAA1143
1110065P20Rik	C1orf122
1190002N15Rik	C3orf58
1190005I06Rik	C16orf74
1190007I07Rik	C12orf73
1500009C09Rik	LINC00634
1500009L16Rik	C12orf75
1500015O10Rik	C2orf40
1600002K03Rik	C19orf24
1600012H06Rik	C6orf120
1600014C10Rik	C19orf12
1700001C02Rik	C2orf70
1700001C19Rik	LOC102723903
1700001L19Rik	C5orf49
1700001O22Rik	C9orf50
1700001P01Rik	C17orf98
1700003E16Rik	C2orf81
1700003F12Rik	C20orf144
1700006E09Rik	C17orf105
1700007G11Rik	C4orf22
1700007K09Rik	FAM24B
1700007K13Rik	C9orf116
1700008O03Rik	C19orf81
1700010I14Rik	C6orf118
1700011H14Rik	CCDC198
1700011I03Rik	CCDC192
1700011L22Rik	C4orf51
1700012B09Rik	C11orf97
1700012P22Rik	C1orf158
1700013F07Rik	C1orf194
1700014D04Rik	SPATA31D1
1700015F17Rik	LOC102723899
1700015G11Rik	CCDC179
1700016C15Rik	C1orf100
1700016G14Rik	C6orf229
1700016H13Rik	C4orf36
1700016K19Rik	C17orf97
1700017B05Rik	C15orf39
1700017N19Rik	C12orf50
1700018B08Rik	C16orf95
1700019D03Rik	C2orf88
1700019N19Rik	C10orf82
1700020A23Rik	C20orf141
1700020L24Rik	C17orf50
1700021F05Rik	C6orf203
1700021F07Rik	C20orf85
1700022I11Rik	C9orf131
1700024G13Rik	C10orf53
1700025G04Rik	C1orf21
1700028K03Rik	C1orf146
1700028P14Rik	C9orf135
1700029H14Rik	LOC102723545
1700029I15Rik	C11orf94
1700029J07Rik	C4orf47
1700030J22Rik	C16orf46
1700030K09Rik	C19orf44
1700031M16Rik	C12orf54
1700034E13Rik	LOC100505841
1700034J05Rik	C12orf71
1700034O15Rik	LLCFC1
1700037C18Rik	C16orf90
1700037H04Rik	C20orf27
1700040L02Rik	C10orf107
1700066M21Rik	C2orf69
1700067K01Rik	C19orf67
1700080E11Rik	NUDT16P1
1700088E04Rik	C22orf23
1700093K21Rik	C2orf74
1700094D03Rik	C1orf189
1700102P08Rik	C3orf62
1700113H08Rik	C12orf42
1700123O20Rik	C14orf119
1700125H20Rik	C17orf64
1810009A15Rik	C11orf98
1810010H24Rik	C17orf58
1810011H11Rik	C10orf128
1810011O10Rik	C8orf4
1810013L24Rik	C16orf72
1810022K09Rik	C8orf59
1810030O07Rik	CXorf38
1810037I17Rik	C4orf3
1810041L15Rik	KIAA1644
1810043G02Rik	C21orf2
1810046K07Rik	C11orf53
1810055G02Rik	C11orf24
2010003K11Rik	C11orf86
2010005H15Rik	CSTA
2010107E04Rik	C14orf2
2010107G23Rik	FAM241B
2010111I01Rik	C9orf3
2010300C02Rik	KIAA1211L
2200002D01Rik	C19orf33
2210016F16Rik	C9orf64
2210016L21Rik	C12orf43
2210408I21Rik	KIAA0825
2300002M23Rik	C6orf15
2300009A05Rik	C15orf61
2310007B03Rik	C2orf54
2310009B15Rik	C1orf53
2310011J03Rik	C19orf25
2310022A10Rik	C19orf47
2310022B05Rik	C1orf198
2310030G06Rik	C11orf52
2310033P09Rik	C1orf35
2310034C09Rik	KRTAP13-2
2310035C23Rik	KIAA1468
2310039H08Rik	C6orf226
2310050C09Rik	C1orf68
2310057J18Rik	C6orf58
2310057M21Rik	C10orf88
2310057N15Rik	KRTAP13-2
2310061I04Rik	C6orf136
2410002F23Rik	C19orf48
2410004B18Rik	C1orf52
2410004P03Rik	C2orf50
2410015M20Rik	C19orf70
2410089E03Rik	C5orf42
2410131K14Rik	C12orf49
2510002D24Rik	C22orf39
2510009E07Rik	C3orf70
2510039O18Rik	KIAA2013
2610001J05Rik	SMIM30
2610002M06Rik	CHMP1B2P
2610028H24Rik	C21orf58
2610301B20Rik	C8orf37
2610507B11Rik	KIAA0100
2610528A11Rik	C10orf99
2610528J11Rik	C1orf210
2700046G09Rik	SGMS1-AS1
2700049A03Rik	KIAA0586
2700060E02Rik	C14orf166
2700062C07Rik	C18orf21
2700081O15Rik	C11orf95
2810004N23Rik	C1orf131
2810006K23Rik	C12orf65
2810403A07Rik	KIAA0907
2810428I15Rik	REX1BD
2810459M11Rik	C2orf72
2810474O19Rik	KIAA1551
2900011O08Rik	C16orf45
2900026A02Rik	KIAA1671
2900092C05Rik	C19orf18
3110002H16Rik	C18orf8
3110009E18Rik	C2orf76
3110035E14Rik	C8orf46
3110040N11Rik	C15orf40
3110043O21Rik	C9orf72
3110062M04Rik	C7orf49
3110079O15Rik	C2orf82
3110082I17Rik	C7orf50
3425401B19Rik	C10orf71
3632451O06Rik	C14orf37
3830406C13Rik	C3orf14
4430402I18Rik	SPATA6L
